date,region,product,category,quantity,revenue,profit,sales_rep
2026-01-15,North,Laptop,Electronics,5,15000,3000,Alice
2026-01-16,North,Mouse,Electronics,20,2000,600,Alice
2026-01-17,South,Monitor,Electronics,8,8000,1600,Bob
2026-01-18,South,Desk,Furniture,3,1500,300,Bob
2026-01-19,East,Chair,Furniture,12,4800,960,Charlie
2026-01-20,East,Keyboard,Electronics,15,3000,900,Charlie
2026-02-01,West,Lamp,Furniture,10,2000,400,Diana
2026-02-02,West,Notebook,Stationery,50,500,150,Diana
2026-02-03,North,Pen,Stationery,100,200,50,Alice
2026-02-04,North,Monitor,Electronics,6,6000,1200,Alice
2026-02-05,South,Laptop,Electronics,4,12000,2400,Bob
2026-02-06,South,Chair,Furniture,8,3200,640,Bob
2026-02-07,East,Desk,Furniture,5,2500,500,Charlie
2026-02-08,East,Mouse,Electronics,25,2500,750,Charlie
2026-02-09,West,Keyboard,Electronics,18,3600,1080,Diana
2026-02-10,West,Lamp,Furniture,15,3000,600,Diana
2026-03-01,North,Monitor,Electronics,7,7000,1400,Alice
2026-03-02,North,Notebook,Stationery,75,750,225,Alice
2026-03-03,South,Pen,Stationery,120,240,60,Bob
2026-03-04,South,Laptop,Electronics,3,9000,1800,Bob
2026-03-05,East,Chair,Furniture,10,4000,800,Charlie
2026-03-06,East,Desk,Furniture,6,3000,600,Charlie
2026-03-07,West,Keyboard,Electronics,20,4000,1200,Diana
2026-03-08,West,Monitor,Electronics,5,5000,1000,Diana
2026-03-09,North,Lamp,Furniture,12,2400,480,Alice
2026-03-10,North,Mouse,Electronics,30,3000,900,Alice
